Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
05/31/2013,16:16:00,MCP,"6th district, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",880 RUSSELL AVE,39.069385,-77.1619083333333,No,No,No,No,No,No,No,No,No,No,MA,02 - Automobile,2012.0,CRUZ,CRUZ,SILVER,Citation,16-303(h),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.069385, -77.1619083333333)"
01/13/2016,16:40:00,MCP,"1st district, Rockville",PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,VEIRS MILL / RANDOLPH RD,39.0564983333333,-77.0836166666667,No,No,No,No,No,No,No,No,No,No,XX,28 - Other,0.0,XX,XX,,Citation,21-503(c),Transportation Article,No,WHITE,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0564983333333, -77.0836166666667)"
11/25/2016,23:44:00,MCP,"1st district, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,BOU AVE / CHAPMAN AVE,39.056265,-77.1169866666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1990.0,JEEP,WRANGLER,SILVER,Warning,21-201(a1),Transportation Article,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.056265, -77.1169866666667)"
11/28/2016,22:50:00,MCP,"2nd district, Bethesda",DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,SEVEN LOCKS ROAD AT POSTOAK RD,39.0531066666667,-77.1638033333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYOTA,PRIUS,BLACK,Warning,22-204(f),Transportation Article,No,WHITE,M,POTOMAC,MD,MD,A - Marked Patrol,"(39.0531066666667, -77.1638033333333)"
05/24/2013,15:17:00,MCP,"4th district, Wheaton",FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.,WELLER RD @ BUSHEY DR,39.0660366666667,-77.080475,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999.0,JEEP,TRK,GREEN,Citation,13-410(e2),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0660366666667, -77.080475)"
05/18/2013,14:15:00,MCP,"1st district, Rockville",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,FREDERICK RD/E GUDE DR,39.1074366666667,-77.1588516666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,LEXUS,RX330,GRAY,Citation,16-303(c),Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1074366666667, -77.1588516666667)"
12/01/2016,03:18:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,MUDDY BRANCH / WEST SIDE DR,39.12769,-77.2094783333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,TOYT,COROLLA,BLACK,Warning,13-401(h),Transportation Article,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.12769, -77.2094783333333)"
11/28/2016,22:33:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,KEY WEST AVE @ SGREAT SENECA HWY,39.1043933333333,-77.2035983333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,NISS,SENTRA,SILVER,Warning,13-401(h),Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1043933333333, -77.2035983333333)"
11/28/2016,15:52:00,MCP,"4th district, Wheaton",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 53,GEORGIA AVE @ URBANA,39.0612766666667,-77.0528466666667,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2015.0,GMC,SIERRA,WHITE,Warning,21-801(a),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0612766666667, -77.0528466666667)"
11/26/2016,19:06:00,MCP,"6th district, Gaithersburg / Montgomery Village","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",WOODMONT AVE / RUGBY AVE,38.9913083333333,-77.096815,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,MITS,4S LANCER,SILVER,Warning,22-201.1,Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(38.9913083333333, -77.096815)"
11/26/2016,00:13:00,MCP,"4th district, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,MVA / MIDCOUNTY,39.1594533333333,-77.202425,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,FORD,FOCUS,SILVER,Warning,21-801.1,Transportation Article,No,ASIAN,F,MONTOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.1594533333333, -77.202425)"
10/22/2012,00:46:00,MCP,"3rd district, Silver Spring",FAILURE OF DRIVER TO MAKE LANE CHANGE TO AVAILABLELANE NOT IMMED. ADJACENT TO STOPPED EMERG. VEH.,UNIVERSITY BLVD E/ LANGLEY DR,39.0023400166667,-76.9958669833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,CIVIC,SILVER,Citation,21-405(e1),Transportation Article,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(39.0023400166667, -76.9958669833333)"
11/30/2016,07:56:00,MCP,"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,WISTERIA / WATERS,39.177825,-77.271775,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,ACURA,4D,GRAY,Warning,21-801.1,Transportation Article,No,WHITE,F,CLARKSBURG,MD,MD,Q - Marked Laser,"(39.177825, -77.271775)"
09/12/2014,22:24:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,GEORGIA AVE @ AUGUST DR,39.0200566666667,-77.0442083333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,BMW,323I,BLUE,Citation,13-401(h),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0200566666667, -77.0442083333333)"
09/18/2015,01:03:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,DIAMONDBACK DR @ SAM EIG HWY,39.1120166666667,-77.2102533333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYT,4S,BLACK,Citation,21-201(a1),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1120166666667, -77.2102533333333)"
12/01/2016,14:56:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,TRAVIS AVE / OLD GAME PRESERVE RD,39.1623133333333,-77.2212316666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,MERZ,TK,BLACK,Warning,16-112(c),Transportation Article,No,BLACK,F,FREDERICK,MD,MD,A - Marked Patrol,"(39.1623133333333, -77.2212316666667)"
11/30/2016,12:59:00,MCP,"4th district, Wheaton",FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE,ICC @ NEW HAMPSHIRE,39.1034766666667,-77.0482316666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1995.0,ACURA,LEGEND,GREEN,Warning,13-411(c2),Transportation Article,No,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1034766666667, -77.0482316666667)"
09/08/2012,15:12:00,MCP,"3rd district, Silver Spring",FAILURE OF DRIVER TO SLOW TO A REASONABLE AND PRUDENT SPEED WHILE PASSING STOPPED EMERG. VEH.,SB 270 @ 370,39.1201231166667,-77.1975321666667,No,No,No,No,No,No,No,No,No,No,WV,02 - Automobile,2012.0,JEEP,4X4,BLACK,Citation,21-405(e2),Transportation Article,No,WHITE,F,FAIRMONT,WV,WV,A - Marked Patrol,"(39.1201231166667, -77.1975321666667)"
11/28/2016,16:21:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,COLESVILLE AT FENTON,39.1493083333333,-77.23445,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2015.0,CHEVY,TRAX,WHITE,Warning,21-201(a1),Transportation Article,No,BLACK,F,GLENN DALE,MD,MD,A - Marked Patrol,"(39.1493083333333, -77.23445)"
04/16/2013,01:16:00,MCP,"3rd district, Silver Spring",DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,COLESVILLE RD AT SLIGO CREEK,,,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2003.0,TOYOTA,CAMRY,SILVER,Citation,22-204(f),Transportation Article,No,BLACK,F,COLLEGE PARK,MD,MD,A - Marked Patrol,
03/29/2012,02:58:00,MCP,Headquarters and Special Operations,RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,PLUM ORCHARD AT BROADBIRCH,38.9905574666667,-77.0229443166667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,TOYOTA,SIENNA,GRAY,Citation,21-901.1(a),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9905574666667, -77.0229443166667)"
11/24/2016,23:56:00,MCP,"3rd district, Silver Spring",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,GEORGIA AVE / BONIFANT ST,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999.0,IZUZU,RODEO,SILVER,Warning,22-226(a),Transportation Article,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,
12/01/2016,20:45:00,MCP,"4th district, Wheaton","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",OLD GEORGETOWN/BATTERY,38.99034,-77.1033733333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,LEXUS,4S,BLACK,Warning,22-201.1,Transportation Article,No,ASIAN,M,BREA,CA,CA,A - Marked Patrol,"(38.99034, -77.1033733333333)"
03/27/2012,00:18:00,MCP,"2nd district, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,1703 EAST WEST HWY,38.9835074833333,-77.0929600333333,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,1996.0,MAZDA,PROTEGE,GREEN,Citation,21-801(b),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9835074833333, -77.0929600333333)"
11/26/2016,17:55:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,CONNECTICUT AVE/DEAN RD,39.0718683333333,-77.0773733333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,HONDA,ACCORD,SILVER,Warning,21-201(a1),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0718683333333, -77.0773733333333)"
11/30/2016,14:33:00,MCP,"4th district, Wheaton",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,ICC@ LAYHILL,39.0976833333333,-77.035415,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,MUSTANG,BLACK,Warning,21-801(a),Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.0976833333333, -77.035415)"
11/24/2016,01:03:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO STOP AT STOP SIGN LINE,GRANDVIEW AVE / BLUERIDGE AVE,39.048675,-77.05183,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,GMC,ENVOY,SILVER,Warning,21-707(a),Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.048675, -77.05183)"
11/29/2016,09:59:00,MCP,"1st district, Rockville",DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,E JEFFERSON ST AT CONGRESSIONAL LA,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYOTA,HIGHLANDER,SILVER,Warning,21-202(m),Transportation Article,No,WHITE,F,POTOMAC,MD,MD,M - Marked (Off-Duty),
11/30/2016,23:09:00,MCP,"3rd district, Silver Spring",DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100' OF TRAVEL BEFORE TURNING,MIDDLEBROOK RD/ WARING STATION DR,39.1746,-77.2537866666667,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2004.0,TOYOTA,RAV4,BLACK,Warning,21-604(d),Transportation Article,No,ASIAN,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1746, -77.2537866666667)"
11/26/2016,01:26:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,UNIVERSITY BLVD @ AMHERST AVE-KING GEORG,39.0375583333333,-77.04012,No,No,No,No,No,No,No,No,No,No,MD,01 - Motorcycle,1999.0,HONDA,CIVIC,SILVER,Warning,21-201(a1),Transportation Article,No,HISPANIC,F,OLNEY,MD,MD,A - Marked Patrol,"(39.0375583333333, -77.04012)"
11/26/2016,09:00:00,MCP,"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,JONES LANE AT FALCONBRIDGE DRIVE,39.0993366666667,-77.2643433333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,JAGUAR,4DR,SILVER,Warning,21-801.1,Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0993366666667, -77.2643433333333)"
01/20/2013,16:33:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,124 @ AIRPARK,39.17201685,-77.1515452333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,VOLKSWAGON,EOS,WHITE,Citation,13-409(b),Transportation Article,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.17201685, -77.1515452333333)"
06/23/2014,08:32:00,MCP,"2nd district, Bethesda",FAILURE OF VEH. DRIVER TO USE CARE TO AVOID COLLISION W/ BIKE OPER. BY PERSON,CONNECTICUT AVE/BEACH,39.0077133333333,-77.0801716666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYOTA,4S,SILVER,Citation,21-1209(a1),Transportation Article,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,"(39.0077133333333, -77.0801716666667)"
11/23/2016,23:26:00,MCP,"5th district, Germantown","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",I270NB RAMP/MONTGOMERY VILLAGE AVE,39.1489483333333,-77.214945,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,NISSAN,PATHFINDER,RED,Warning,22-201.1,Transportation Article,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1489483333333, -77.214945)"
12/01/2016,22:01:00,MCP,"4th district, Wheaton",FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM,SAM EIG / GREAT SENECA,39.1104,-77.2116316666667,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,1999.0,TOYOTA,4RUNNER,GREEN,Warning,13-411(c1),Transportation Article,No,ASIAN,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1104, -77.2116316666667)"
11/29/2016,17:02:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY TRAFFIC DEVICE ON MAKING TURN,ASPEN HILL RD @ FRANKFORT DR,39.0817333333333,-77.0854,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,CHRYSLER,PACIFICA,WHITE,Warning,21-601(d),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0817333333333, -77.0854)"
11/24/2016,01:12:00,MCP,"3rd district, Silver Spring",FAILURE TO PROPERLY EQUIP & LOCATE HEADLAMPS ON MOTOR VEH.,BOURNEFIELD @ BROADBIRCH,39.055415,-76.9607783333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,HYUNDAI,SONATA,RED,Warning,22-203(b),Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.055415, -76.9607783333333)"
09/23/2012,00:37:00,MCP,"4th district, Wheaton",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,N/B GEORGIA AVE @ PLYERS MILL RD,39.0584161333333,-77.0482741666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYOTA,4RUNNER,MAROON,Citation,21-402(a),Transportation Article,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(39.0584161333333, -77.0482741666667)"
11/26/2016,00:02:00,MCP,"6th district, Gaithersburg / Montgomery Village",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,503 E DIAMOND AVE,39.1408016666667,-77.1849916666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1991.0,LEXU,4S,GOLD,Warning,21-801.1,Transportation Article,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1408016666667, -77.1849916666667)"
07/20/2012,21:40:00,MCP,"1st district, Rockville",DRIVER SPINNING WHEELS,N/B 355 @ HUBBARD DR,39.08117295,-77.1455773,No,No,No,No,No,No,No,No,No,No,FL,02 - Automobile,1985.0,NISSAN,300ZX,WHITE,Citation,21-1117(c),Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.08117295, -77.1455773)"
11/26/2016,09:07:00,MCP,"1st district, Rockville",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,DARNESTOWN RD / TRAVILAH RD,39.096215,-77.2067166666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYOTA,COROLLA,BLACK,Warning,16-116(a),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.096215, -77.2067166666667)"
03/30/2013,10:20:00,MCP,"1st district, Rockville",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,12630 VEIRS MILL,39.0635766666667,-77.0957133333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,BMW,X5,BEIGE,Citation,13-411(f),Transportation Article,No,BLACK,F,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0635766666667, -77.0957133333333)"
11/23/2016,22:05:00,MCP,"3rd district, Silver Spring",FAILURE TO PROPERLY EQUIP & LOCATE HEADLAMPS ON MOTOR VEH.,GEORGIA AVE/SLIGO AVE,38.9892583333333,-77.026785,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYOTA,COROLLA,GRAY,Warning,22-203(b),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9892583333333, -77.026785)"
11/28/2016,21:53:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,BROADBIRCH DR AT BOURNFIELD WAY,39.055995,-76.9637833333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,HONDA,CIVIC,WHITE,Warning,21-201(a1),Transportation Article,No,WHITE,F,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.055995, -76.9637833333333)"
01/18/2016,12:38:00,MCP,"3rd district, Silver Spring",HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,CHERRY HILL ROAD/CALVERTON BLVD,39.055695,-76.9559033333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,JAGUAR,3.0,GRAY,Citation,16-105(b1),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.055695, -76.9559033333333)"
03/26/2013,22:31:00,MCP,"5th district, Germantown",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GERMANTOWN RD./  CRYSTALROCK DRIVE,39.18222985,-77.2595385833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYOTA,CAMARY,"BLUE, LIGHT",Citation,16-112(c),Transportation Article,No,WHITE,M,HIGHLAND,MD,MD,A - Marked Patrol,"(39.18222985, -77.2595385833333)"
05/15/2014,17:15:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,ROSEMARY CIR AT ROSEMARY ST,,,No,No,No,No,No,No,No,No,No,No,PA,02 - Automobile,2011.0,HYUN,ELANTRA,BLUE,Warning,21-201(a1),Transportation Article,No,WHITE,F,PHILADELPHIA,PA,PA,A - Marked Patrol,
11/23/2016,18:02:00,MCP,"5th district, Germantown",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,CREAMERY HILL DR @ MATENY RD,39.15612,-77.2650833333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998.0,BMW,528I,SILVER,Warning,13-401(h),Transportation Article,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.15612, -77.2650833333333)"
